epoch,phase,loss,accuracy
0,test,0.5759173035621643,0.7113820910453796
0,test,0.5759173035621643,0.7113820910453796
0,test,0.5759173035621643,0.7113820910453796
0,val,0.6926525831222534,0.53125
0,val,0.7477976679801941,0.4674796760082245
0,train,0.7274234294891357,0.5
1,val,0.6946739554405212,0.5325203537940979
1,train,0.735345184803009,0.3333333432674408
2,val,0.6983553767204285,0.5325203537940979
2,train,0.6991934776306152,0.5833333134651184
3,val,0.6966457366943359,0.45121949911117554
3,train,0.700026273727417,0.4166666567325592
4,val,0.698280394077301,0.45121949911117554
4,train,0.7040956020355225,0.3333333432674408
5,val,0.7524310350418091,0.4674796760082245
5,train,0.6580944061279297,0.625
6,val,0.723427414894104,0.4674796760082245
6,train,0.6694140434265137,0.625
7,val,0.7141386866569519,0.4674796760082245
7,train,0.7045459151268005,0.4583333432674408
8,val,0.6863806247711182,0.5487805008888245
8,train,0.7257608771324158,0.4166666567325592
9,val,0.6919431686401367,0.5325203537940979
9,train,0.7683998942375183,0.375
10,val,0.6895868182182312,0.5487805008888245
10,train,0.7275633215904236,0.3333333432674408
11,val,0.6880419850349426,0.5487805008888245
11,train,0.6831889152526855,0.5
12,val,0.6885523796081543,0.5487805008888245
12,train,0.7002037167549133,0.5416666865348816
13,val,0.7189090251922607,0.45121949911117554
13,train,0.7450708746910095,0.375
14,val,0.6945037841796875,0.4674796760082245
14,train,0.7063984870910645,0.3333333432674408
15,val,0.6921767592430115,0.5325203537940979
15,train,0.715144693851471,0.4166666567325592
16,val,0.6927328705787659,0.5325203537940979
16,train,0.702578067779541,0.4583333432674408
17,val,0.6950949430465698,0.5325203537940979
17,train,0.7480945587158203,0.4583333432674408
18,val,0.6980664134025574,0.5325203537940979
18,train,0.6938233971595764,0.5416666865348816
19,val,0.712209165096283,0.4674796760082245
19,train,0.7001376748085022,0.5
20,val,0.6902008652687073,0.5487805008888245
20,train,0.7070719599723816,0.4583333432674408
21,val,0.693981409072876,0.5325203537940979
21,train,0.6925552487373352,0.5
22,val,0.6927452683448792,0.5487805008888245
22,train,0.6927122473716736,0.6666666865348816
23,val,0.6923561692237854,0.5325203537940979
23,train,0.6874284148216248,0.5833333134651184
24,val,0.6896355748176575,0.5487805008888245
24,train,0.6864585876464844,0.5833333134651184
25,val,0.6964110732078552,0.5325203537940979
25,train,0.6971232295036316,0.375
26,val,0.7118996977806091,0.45121949911117554
